ID,start,end,code,team,action,half,pos_x,pos_y
534,823.47,843.47,10. Jessica Anne Fishlock,OL Reign,Positional attacks,1st half,48.3,51.2
535,825.61,845.61,10. Jessica Anne Fishlock,OL Reign,Positional attacks,1st half,48.7,57.2
536,825.61,845.61,10. Jessica Anne Fishlock,OL Reign,Passes accurate,1st half,48.7,57.2
537,827.25,847.25,7. Stephanie-Elise Catley,OL Reign,Positional attacks,1st half,44.3,63.0
538,827.25,847.25,7. Stephanie-Elise Catley,OL Reign,Passes accurate,1st half,44.3,63.0
539,828.35,848.35,3. Lauren Kate Barnes,OL Reign,Positional attacks,1st half,40.1,56.7
540,828.91,848.91,20. Rumi Utsugi,OL Reign,Passes accurate,1st half,41.6,57.7
541,828.91,848.91,20. Rumi Utsugi,OL Reign,Positional attacks,1st half,41.6,57.7
542,830.03,850.03,6. Alexandra Linsley Long Batista,OL Reign,Positional attacks,1st half,38.6,45.5
543,832.71,852.71,6. Alexandra Linsley Long Batista,OL Reign,Passes accurate,1st half,38.0,36.9
544,832.71,852.71,6. Alexandra Linsley Long Batista,OL Reign,Positional attacks,1st half,38.0,36.9
545,836.78,856.78,8. Theresa Eslund,OL Reign,Positional attacks,1st half,75.2,2.9
546,838.14,858.14,8. Theresa Eslund,OL Reign,Positional attacks,1st half,86.5,1.7
547,838.14,858.14,8. Theresa Eslund,OL Reign,Lost balls,1st half,86.5,1.7
548,838.14,858.14,8. Theresa Eslund,OL Reign,Positional attacks,1st half,86.5,1.7
549,838.14,858.14,8. Theresa Eslund,OL Reign,Crosses (inaccurate),1st half,86.5,1.7
550,838.14,858.14,8. Theresa Eslund,OL Reign,Passes into the penalty box,1st half,86.5,1.7
551,838.14,858.14,8. Theresa Eslund,OL Reign,Passes (inaccurate),1st half,86.5,1.7
552,839.96,859.96,24. Adrianna Nichole Franch,Portland Thorns,Picking-ups,1st half,5.7,35.9
553,839.96,859.96,24. Adrianna Nichole Franch,Portland Thorns,Positional attacks,1st half,5.7,35.9
554,841.27,861.27,24. Adrianna Nichole Franch,Portland Thorns,Passes accurate,1st half,9.0,38.3
555,843.24,863.24,10. Lindsey Michelle Horan,Portland Thorns,Dribbles (Successful actions),1st half,26.5,51.5
556,843.24,863.24,10. Jessica Anne Fishlock,OL Reign,Tackles (Unsuccessful actions),1st half,78.5,16.5
557,843.24,863.24,10. Jessica Anne Fishlock,OL Reign,Challenges (lost),1st half,78.5,16.5
558,843.8,863.8,10. Jessica Anne Fishlock,OL Reign,Fouls,1st half,78.8,16.8
559,880.4,900.4,24. Adrianna Nichole Franch,Portland Thorns,Positional attacks,1st half,28.1,49.6
560,880.4,900.4,24. Adrianna Nichole Franch,Portland Thorns,Passes (inaccurate),1st half,28.1,49.6
561,882.54,902.54,20. Rumi Utsugi,OL Reign,Positional attacks,1st half,33.4,22.7
562,882.54,902.54,20. Rumi Utsugi,OL Reign,Passes accurate,1st half,33.4,22.7
563,882.54,902.54,20. Rumi Utsugi,OL Reign,Positional attacks,1st half,33.4,22.7
564,882.54,902.54,20. Rumi Utsugi,OL Reign,Interceptions,1st half,33.4,22.7
565,884.52,904.52,10. Jessica Anne Fishlock,OL Reign,Air challenges (lost),1st half,39.1,17.5
566,884.52,904.52,30. Celeste Anais Boureille,Portland Thorns,Air challenges (won),1st half,65.9,50.5
567,884.52,904.52,10. Jessica Anne Fishlock,OL Reign,Challenges (lost),1st half,39.1,17.5
568,884.52,904.52,30. Celeste Anais Boureille,Portland Thorns,Positional attacks,1st half,65.9,50.5
569,884.52,904.52,30. Celeste Anais Boureille,Portland Thorns,Passes (inaccurate),1st half,65.9,50.5
570,884.52,904.52,30. Celeste Anais Boureille,Portland Thorns,Lost balls,1st half,74.3,51.2
571,884.52,904.52,30. Celeste Anais Boureille,Portland Thorns,Positional attacks,1st half,65.9,50.5
572,884.52,904.52,30. Celeste Anais Boureille,Portland Thorns,Challenges (won),1st half,65.9,50.5
573,886.02,906.02,8. Theresa Eslund,OL Reign,Passes accurate,1st half,30.7,16.8
574,886.02,906.02,8. Theresa Eslund,OL Reign,Picking-ups,1st half,30.7,16.8
575,886.02,906.02,8. Theresa Eslund,OL Reign,Positional attacks,1st half,30.7,16.8
576,886.02,906.02,8. Theresa Eslund,OL Reign,Counter-attacks,1st half,30.7,16.8
577,889.97,909.97,4. Emily Townsend Menges,Portland Thorns,Challenges (won),1st half,32.5,55.1
578,889.97,909.97,14. Jodie Lee Taylor,OL Reign,Challenges (lost),1st half,72.5,12.9
579,889.97,909.97,4. Emily Townsend Menges,Portland Thorns,Counter-attacks,1st half,32.5,55.1
580,891.3,911.3,4. Emily Townsend Menges,Portland Thorns,Counter-attacks,1st half,37.2,53.9
581,891.3,911.3,4. Emily Townsend Menges,Portland Thorns,Passes (inaccurate),1st half,37.2,53.9
582,891.49,911.49,22. Jasmyne Spencer,OL Reign,Interceptions,1st half,66.4,14.4
583,891.49,911.49,22. Jasmyne Spencer,OL Reign,Interceptions (in opp. half),1st half,66.4,14.4
584,891.49,911.49,22. Jasmyne Spencer,OL Reign,Counter-attacks,1st half,66.4,14.4
585,894.88,914.88,15. Megan Anna Rapinoe,OL Reign,Picking-ups (in opp. half),1st half,83.4,39.0
586,894.88,914.88,15. Megan Anna Rapinoe,OL Reign,Picking-ups,1st half,83.4,39.0
587,894.88,914.88,15. Megan Anna Rapinoe,OL Reign,Counter-attacks,1st half,83.4,39.0
588,896.26,916.26,15. Megan Anna Rapinoe,OL Reign,Shots,1st half,88.6,44.1
589,896.26,916.26,16. Emily Ann Sonnett,Portland Thorns,Counter-attacks,1st half,13.9,25.6
590,896.26,916.26,16. Emily Ann Sonnett,Portland Thorns,Interceptions,1st half,13.9,25.6
591,896.26,916.26,15. Megan Anna Rapinoe,OL Reign,Counter-attacks,1st half,88.6,44.1
592,897.53,917.53,16. Emily Ann Sonnett,Portland Thorns,Counter-attacks,1st half,12.0,22.5
593,903.91,923.91,7. Stephanie-Elise Catley,OL Reign,Passes accurate,1st half,78.5,68.0
594,903.91,923.91,7. Stephanie-Elise Catley,OL Reign,Positional attacks,1st half,78.5,68.0
595,905.09,925.09,15. Megan Anna Rapinoe,OL Reign,Positional attacks,1st half,85.7,59.6
596,907.74,927.74,15. Megan Anna Rapinoe,OL Reign,Lost balls,1st half,81.3,46.9
597,907.74,927.74,15. Megan Anna Rapinoe,OL Reign,Positional attacks,1st half,81.7,48.1
598,907.74,927.74,15. Megan Anna Rapinoe,OL Reign,Passes (inaccurate),1st half,81.7,48.1
599,907.83,927.83,10. Lindsey Michelle Horan,Portland Thorns,Positional attacks,1st half,23.7,21.1
600,907.83,927.83,10. Lindsey Michelle Horan,Portland Thorns,Interceptions,1st half,23.7,21.1
601,909.16,929.16,12. Christine Margaret Sinclair,Portland Thorns,Picking-ups,1st half,31.9,19.6
602,909.18,929.18,12. Christine Margaret Sinclair,Portland Thorns,Dribbling,1st half,31.5,19.6
603,913.71,933.71,12. Christine Margaret Sinclair,Portland Thorns,Lost balls,1st half,93.4,10.3
604,913.71,933.71,12. Christine Margaret Sinclair,Portland Thorns,Passes (inaccurate),1st half,38.0,6.0
605,918.16,938.16,4. Megan Leigh Oyster,OL Reign,Passes accurate,1st half,11.6,57.7
606,918.16,938.16,4. Megan Leigh Oyster,OL Reign,Picking-ups,1st half,11.6,57.7
607,920.28,940.28,1. Lydia Grace Yilkari Williams,OL Reign,Passes (inaccurate),1st half,2.1,44.5
608,950.82,970.82,15. Ellie Madison Carpenter,Portland Thorns,Throw-in attacks,1st half,97.4,0.0
609,950.82,970.82,15. Ellie Madison Carpenter,Portland Thorns,Passes into the penalty box,1st half,97.4,0.0
610,950.82,970.82,15. Ellie Madison Carpenter,Portland Thorns,Passes accurate,1st half,97.4,0.0
611,952.86,972.86,3. Lauren Kate Barnes,OL Reign,Air challenges (lost),1st half,6.9,45
612,952.86,972.86,23. Margaret Purce,Portland Thorns,Air challenges (won),1st half,98.1,23.0
613,952.86,972.86,3. Lauren Kate Barnes,OL Reign,Challenges (lost),1st half,6.9,45
614,952.86,972.86,23. Margaret Purce,Portland Thorns,Challenges (won),1st half,98.1,23.0
615,952.86,972.86,23. Margaret Purce,Portland Thorns,Throw-in attacks,1st half,98.1,23.0
616,952.86,972.86,23. Margaret Purce,Portland Thorns,Passes accurate,1st half,98.1,23.0
617,952.86,972.86,23. Margaret Purce,Portland Thorns,Passes into the penalty box,1st half,98.1,23.0
618,952.86,972.86,23. Margaret Purce,Portland Thorns,Throw-in attacks,1st half,98.1,23.0
619,954.16,974.16,17. Tobin Powell Powell Heath,Portland Thorns,Throw-in attacks,1st half,0.0,0.0
620,954.16,974.16,23. Margaret Purce,Portland Thorns,Throw-in attacks,1st half,0.0,0.0
621,954.18,974.18,8. Theresa Eslund,OL Reign,Throw-in attacks,1st half,7.3,29.0
622,954.18,974.18,8. Theresa Eslund,OL Reign,Errors,1st half,7.3,29.0
623,954.26,974.26,4. Megan Leigh Oyster,OL Reign,Throw-in attacks,1st half,6.1,33.5
624,954.26,974.26,17. Tobin Powell Powell Heath,Portland Thorns,Shots,1st half,96.4,34.7
625,954.26,974.26,17. Tobin Powell Powell Heath,Portland Thorns,Throw-in attacks,1st half,96.4,34.7
626,954.26,974.26,4. Megan Leigh Oyster,OL Reign,Interceptions,1st half,6.1,33.5
627,987.33,1007.33,17. Tobin Powell Powell Heath,Portland Thorns,Corner attacks,1st half,104.6,0.5
628,987.33,1007.33,17. Tobin Powell Powell Heath,Portland Thorns,Passes into the penalty box,1st half,104.6,0.5
629,987.33,1007.33,17. Tobin Powell Powell Heath,Portland Thorns,Passes accurate,1st half,104.6,0.5
630,987.33,1007.33,17. Tobin Powell Powell Heath,Portland Thorns,Corner attacks,1st half,104.6,0.5
631,988.61,1008.61,30. Celeste Anais Boureille,Portland Thorns,Challenges (lost),1st half,101,25.9
632,988.61,1008.61,14. Jodie Lee Taylor,OL Reign,Challenges (won),1st half,4.0,42.1
633,988.61,1008.61,14. Jodie Lee Taylor,OL Reign,Corner attacks,1st half,4.0,42.1
634,989.94,1009.94,14. Jodie Lee Taylor,OL Reign,Corner attacks,1st half,7.6,44.8
635,1012.9,1032.9,15. Ellie Madison Carpenter,Portland Thorns,Passes into the penalty box,1st half,80.0,0.0
636,1012.9,1032.9,15. Ellie Madison Carpenter,Portland Thorns,Throw-in attacks,1st half,80.0,0.0
637,1012.9,1032.9,15. Ellie Madison Carpenter,Portland Thorns,Passes (inaccurate),1st half,80.0,0.0
638,1014.78,1034.78,6. Alexandra Linsley Long Batista,OL Reign,Throw-in attacks,1st half,8.4,46.5
639,1014.78,1034.78,6. Alexandra Linsley Long Batista,OL Reign,Bad ball control,1st half,8.4,46.5
640,1014.8,1034.8,6. Alexandra Linsley Long Batista,OL Reign,Errors,1st half,9.4,46.0
641,1014.8,1034.8,6. Alexandra Linsley Long Batista,OL Reign,Throw-in attacks,1st half,9.4,46.0
642,1015.77,1035.77,9. Caitlin Jade Foord,Portland Thorns,Throw-in attacks,1st half,0.0,0.0
643,1015.77,1035.77,9. Caitlin Jade Foord,Portland Thorns,Throw-in attacks,1st half,0.0,0.0
644,1015.87,1035.87,9. Caitlin Jade Foord,Portland Thorns,Shot on target,1st half,99.5,26.8
645,1015.87,1035.87,1. Lydia Grace Yilkari Williams,OL Reign,Shot on target (saved),1st half,5.5,41.2
646,1015.87,1035.87,9. Caitlin Jade Foord,Portland Thorns,Shots,1st half,99.5,26.8
647,1015.87,1035.87,9. Caitlin Jade Foord,Portland Thorns,Throw-in attacks,1st half,99.5,26.8
648,1015.87,1035.87,9. Caitlin Jade Foord,Portland Thorns,Picking-ups,1st half,99.5,26.8
649,1015.87,1035.87,9. Caitlin Jade Foord,Portland Thorns,Picking-ups (in opp. half),1st half,99.5,26.8
650,1015.87,1035.87,9. Caitlin Jade Foord,Portland Thorns,Throw-in attacks,1st half,99.5,26.8
651,1015.87,1035.87,1. Lydia Grace Yilkari Williams,OL Reign,Supersaves,1st half,5.5,41.2
652,1016.01,1036.01,8. Theresa Eslund,OL Reign,Throw-in attacks,1st half,6.1,38.1
653,1016.01,1036.01,8. Theresa Eslund,OL Reign,Errors,1st half,6.1,38.1
654,1016.09,1036.09,1. Lydia Grace Yilkari Williams,OL Reign,Throw-in attacks,1st half,3.4,37.4
655,1017.2,1037.2,23. Margaret Purce,Portland Thorns,Throw-in attacks,1st half,0.0,0.0
656,1017.2,1037.2,23. Margaret Purce,Portland Thorns,Throw-in attacks,1st half,0.0,0.0
657,1017.3,1037.3,23. Margaret Purce,Portland Thorns,Shots,1st half,98.3,29.2
658,1017.3,1037.3,1. Lydia Grace Yilkari Williams,OL Reign,Shot on target (saved),1st half,6.7,38.8
659,1017.3,1037.3,1. Lydia Grace Yilkari Williams,OL Reign,Supersaves,1st half,6.7,38.8
660,1017.3,1037.3,23. Margaret Purce,Portland Thorns,Throw-in attacks,1st half,98.3,29.2
661,1017.3,1037.3,23. Margaret Purce,Portland Thorns,Shot on target,1st half,98.3,29.2
662,1017.3,1037.3,23. Margaret Purce,Portland Thorns,Picking-ups (in opp. half),1st half,98.3,29.2
663,1017.3,1037.3,23. Margaret Purce,Portland Thorns,Picking-ups,1st half,98.3,29.2
664,1017.3,1037.3,23. Margaret Purce,Portland Thorns,Throw-in attacks,1st half,98.3,29.2
665,1017.47,1037.47,1. Lydia Grace Yilkari Williams,OL Reign,Throw-in attacks,1st half,3.6,36.2
666,1019.27,1039.27,17. Tobin Powell Powell Heath,Portland Thorns,Picking-ups (in opp. half),1st half,91.6,31.8
667,1019.27,1039.27,17. Tobin Powell Powell Heath,Portland Thorns,Picking-ups,1st half,91.6,31.8
668,1019.27,1039.27,17. Tobin Powell Powell Heath,Portland Thorns,Throw-in attacks,1st half,91.6,31.8
669,1020.04,1040.04,1. Lydia Grace Yilkari Williams,OL Reign,Wide shot (Goalkeepers),1st half,13.9,33.8
670,1020.04,1040.04,17. Tobin Powell Powell Heath,Portland Thorns,Shot into the bar/post,1st half,91.1,34.2
671,1020.04,1040.04,17. Tobin Powell Powell Heath,Portland Thorns,Shots,1st half,91.1,34.2
672,1020.04,1040.04,17. Tobin Powell Powell Heath,Portland Thorns,Throw-in attacks,1st half,91.1,34.2
673,1022.98,1042.98,3. Lauren Kate Barnes,OL Reign,Throw-in attacks,1st half,4.4,33.3
674,1022.98,1042.98,23. Margaret Purce,Portland Thorns,Air challenges (lost),1st half,100.6,34.7
675,1022.98,1042.98,3. Lauren Kate Barnes,OL Reign,Air challenges (won),1st half,4.4,33.3
676,1022.98,1042.98,23. Margaret Purce,Portland Thorns,Challenges (lost),1st half,100.6,34.7
677,1022.98,1042.98,3. Lauren Kate Barnes,OL Reign,Challenges (won),1st half,4.4,33.3
678,1024.14,1044.14,20. Rumi Utsugi,OL Reign,Passes accurate,1st half,7.6,30.4
679,1024.14,1044.14,20. Rumi Utsugi,OL Reign,Throw-in attacks,1st half,7.6,30.4
680,1024.14,1044.14,20. Rumi Utsugi,OL Reign,Throw-in attacks,1st half,7.6,30.4
681,1024.14,1044.14,20. Rumi Utsugi,OL Reign,Picking-ups,1st half,7.6,30.4
682,1025.77,1045.77,10. Jessica Anne Fishlock,OL Reign,Throw-in attacks,1st half,8.2,22.7
683,1026.87,1046.87,10. Jessica Anne Fishlock,OL Reign,Challenges (lost),1st half,8.8,16.3
684,1026.87,1046.87,17. Tobin Powell Powell Heath,Portland Thorns,Challenges (won),1st half,96.2,51.7
685,1026.87,1046.87,17. Tobin Powell Powell Heath,Portland Thorns,Throw-in attacks,1st half,96.2,51.7
686,1026.87,1046.87,17. Tobin Powell Powell Heath,Portland Thorns,Tackles (Successful actions),1st half,96.2,51.7
687,1026.87,1046.87,17. Tobin Powell Powell Heath,Portland Thorns,Dribbling,1st half,96.2,51.7
688,1026.87,1046.87,17. Tobin Powell Powell Heath,Portland Thorns,Throw-in attacks,1st half,96.2,51.7
689,1034.86,1054.86,8. Theresa Eslund,OL Reign,Challenges (won),1st half,0.8,2.9
690,1034.86,1054.86,17. Tobin Powell Powell Heath,Portland Thorns,Throw-in attacks,1st half,104.2,65.1
691,1034.86,1054.86,17. Tobin Powell Powell Heath,Portland Thorns,Dribbles (Unsuccessful actions),1st half,104.2,65.1
692,1034.86,1054.86,8. Theresa Eslund,OL Reign,Tackles (Successful actions),1st half,0.8,2.9
693,1034.86,1054.86,17. Tobin Powell Powell Heath,Portland Thorns,Challenges (lost),1st half,104.2,65.1
694,1058.89,1078.89,17. Tobin Powell Powell Heath,Portland Thorns,Corner attacks,1st half,105.0,68.0
695,1058.89,1078.89,17. Tobin Powell Powell Heath,Portland Thorns,Corner attacks,1st half,105.0,68.0
696,1058.89,1078.89,17. Tobin Powell Powell Heath,Portland Thorns,Passes (inaccurate),1st half,105.0,68.0
697,1058.89,1078.89,17. Tobin Powell Powell Heath,Portland Thorns,Passes into the penalty box,1st half,105.0,68.0
698,1060.63,1080.63,1. Lydia Grace Yilkari Williams,OL Reign,Corner attacks,1st half,3.4,31.4
699,1060.63,1080.63,1. Lydia Grace Yilkari Williams,OL Reign,Interceptions,1st half,3.4,31.4
700,1060.84,1080.84,1. Lydia Grace Yilkari Williams,OL Reign,Corner attacks,1st half,3.2,31.1
701,1062.86,1082.86,22. Jasmyne Spencer,OL Reign,Corner attacks,1st half,18.1,21.8
702,1062.86,1082.86,22. Jasmyne Spencer,OL Reign,Picking-ups,1st half,18.1,21.8
703,1062.86,1082.86,22. Jasmyne Spencer,OL Reign,Challenges (lost),1st half,18.1,21.8
704,1062.86,1082.86,25. Meghan Elizabeth Klingenberg,Portland Thorns,Challenges (won),1st half,86.9,46.2
705,1062.86,1082.86,22. Jasmyne Spencer,OL Reign,Dribbles (Unsuccessful actions),1st half,18.1,21.8
706,1062.86,1082.86,25. Meghan Elizabeth Klingenberg,Portland Thorns,Tackles (Successful actions),1st half,86.9,46.2
707,1062.86,1082.86,22. Jasmyne Spencer,OL Reign,Corner attacks,1st half,18.1,21.8
708,1065.86,1085.86,25. Meghan Elizabeth Klingenberg,Portland Thorns,Passes accurate,1st half,58.4,51.0
709,1065.86,1085.86,25. Meghan Elizabeth Klingenberg,Portland Thorns,Corner attacks,1st half,58.4,51.0
710,1067.44,1087.44,4. Emily Townsend Menges,Portland Thorns,Passes accurate,1st half,55.0,58.2
711,1067.44,1087.44,4. Emily Townsend Menges,Portland Thorns,Corner attacks,1st half,55.0,58.2
712,1069.05,1089.05,17. Tobin Powell Powell Heath,Portland Thorns,Dribbling,1st half,73.1,67.3
713,1069.05,1089.05,17. Tobin Powell Powell Heath,Portland Thorns,Corner attacks,1st half,73.1,67.3
714,1075.55,1095.55,17. Tobin Powell Powell Heath,Portland Thorns,Passes accurate,1st half,76.9,52.2
715,1075.55,1095.55,17. Tobin Powell Powell Heath,Portland Thorns,Corner attacks,1st half,76.9,52.2
716,1077.8,1097.8,30. Celeste Anais Boureille,Portland Thorns,Corner attacks,1st half,92.2,59.9
717,1077.8,1097.8,30. Celeste Anais Boureille,Portland Thorns,Dribbling,1st half,92.2,59.9
718,1081.66,1101.66,30. Celeste Anais Boureille,Portland Thorns,Crosses (inaccurate),1st half,103.9,52.9
719,1081.66,1101.66,8. Theresa Eslund,OL Reign,Corner attacks,1st half,1.1,15.1
720,1081.66,1101.66,30. Celeste Anais Boureille,Portland Thorns,Corner attacks,1st half,103.9,52.9
721,1109.25,1129.25,17. Tobin Powell Powell Heath,Portland Thorns,Corner attacks,1st half,105.0,68.0
722,1109.25,1129.25,17. Tobin Powell Powell Heath,Portland Thorns,Passes into the penalty box,1st half,105.0,68.0
723,1109.25,1129.25,17. Tobin Powell Powell Heath,Portland Thorns,Passes (inaccurate),1st half,105.0,68.0
724,1109.25,1129.25,17. Tobin Powell Powell Heath,Portland Thorns,Corner attacks,1st half,105.0,68.0
725,1111.05,1131.05,10. Jessica Anne Fishlock,OL Reign,Corner attacks,1st half,6.3,34.5
726,1111.05,1131.05,10. Jessica Anne Fishlock,OL Reign,Interceptions,1st half,6.3,34.5
727,1112.84,1132.84,10. Lindsey Michelle Horan,Portland Thorns,Corner attacks,1st half,88.8,18.9
728,1112.84,1132.84,10. Lindsey Michelle Horan,Portland Thorns,Picking-ups,1st half,88.8,18.9
729,1112.84,1132.84,10. Lindsey Michelle Horan,Portland Thorns,Picking-ups (in opp. half),1st half,88.8,18.9
730,1115.31,1135.31,10. Lindsey Michelle Horan,Portland Thorns,Challenges (lost),1st half,86.9,17.2
731,1115.31,1135.31,4. Megan Leigh Oyster,OL Reign,Tackles (Successful actions),1st half,18.1,50.8
732,1115.31,1135.31,4. Megan Leigh Oyster,OL Reign,Challenges (won),1st half,18.1,50.8
733,1115.31,1135.31,4. Megan Leigh Oyster,OL Reign,Corner attacks,1st half,18.1,50.8
734,1134.74,1154.74,15. Ellie Madison Carpenter,Portland Thorns,Passes accurate,1st half,88.2,0.0
735,1134.74,1154.74,15. Ellie Madison Carpenter,Portland Thorns,Throw-in attacks,1st half,88.2,0.0
736,1134.74,1154.74,15. Ellie Madison Carpenter,Portland Thorns,Passes into the penalty box,1st half,88.2,0.0
737,1136.79,1156.79,10. Lindsey Michelle Horan,Portland Thorns,Lost balls,1st half,92.0,17.7
738,1136.79,1156.79,10. Lindsey Michelle Horan,Portland Thorns,Throw-in attacks,1st half,100.6,21.5
739,1136.79,1156.79,10. Lindsey Michelle Horan,Portland Thorns,Passes into the penalty box,1st half,100.6,21.5
740,1136.79,1156.79,10. Lindsey Michelle Horan,Portland Thorns,Challenges (won),1st half,100.6,21.5
741,1136.79,1156.79,7. Stephanie-Elise Catley,OL Reign,Air challenges (lost),1st half,4.4,46.5
742,1136.79,1156.79,7. Stephanie-Elise Catley,OL Reign,Challenges (lost),1st half,4.4,46.5
743,1136.79,1156.79,10. Lindsey Michelle Horan,Portland Thorns,Air challenges (won),1st half,100.6,21.5
744,1136.79,1156.79,10. Lindsey Michelle Horan,Portland Thorns,Passes (inaccurate),1st half,100.6,21.5
745,1136.79,1156.79,10. Lindsey Michelle Horan,Portland Thorns,Throw-in attacks,1st half,100.6,21.5
746,1138.93,1158.93,15. Megan Anna Rapinoe,OL Reign,Picking-ups,1st half,13.0,50.3
747,1138.93,1158.93,15. Megan Anna Rapinoe,OL Reign,Positional attacks,1st half,13.0,50.3
748,1138.93,1158.93,15. Megan Anna Rapinoe,OL Reign,Passes accurate,1st half,13.0,50.3
749,1138.93,1158.93,15. Megan Anna Rapinoe,OL Reign,Throw-in attacks,1st half,13.0,50.3
750,1140.61,1160.61,20. Rumi Utsugi,OL Reign,Positional attacks,1st half,14.1,43.1
751,1140.61,1160.61,20. Rumi Utsugi,OL Reign,Challenges (won),1st half,14.1,43.1
752,1140.61,1160.61,12. Christine Margaret Sinclair,Portland Thorns,Challenges (lost),1st half,90.9,24.9
753,1140.61,1160.61,20. Rumi Utsugi,OL Reign,Air challenges (won),1st half,14.1,43.1
754,1140.61,1160.61,12. Christine Margaret Sinclair,Portland Thorns,Air challenges (lost),1st half,90.9,24.9
755,1142.37,1162.37,4. Megan Leigh Oyster,OL Reign,Positional attacks,1st half,14.9,31.4
756,1142.37,1162.37,4. Megan Leigh Oyster,OL Reign,Picking-ups,1st half,14.9,31.4
757,1142.37,1162.37,4. Megan Leigh Oyster,OL Reign,Passes (inaccurate),1st half,14.9,31.4
758,1142.37,1162.37,4. Megan Leigh Oyster,OL Reign,Positional attacks,1st half,14.9,31.4
759,1145.5,1165.5,4. Emily Townsend Menges,Portland Thorns,Positional attacks,1st half,55.0,38.5
760,1145.5,1165.5,4. Emily Townsend Menges,Portland Thorns,Passes (inaccurate),1st half,55.0,38.5
761,1145.5,1165.5,4. Emily Townsend Menges,Portland Thorns,Positional attacks,1st half,55.0,38.5
762,1145.5,1165.5,4. Emily Townsend Menges,Portland Thorns,Picking-ups (in opp. half),1st half,55.0,38.5
763,1145.5,1165.5,4. Emily Townsend Menges,Portland Thorns,Picking-ups,1st half,55.0,38.5
764,1146.84,1166.84,22. Jasmyne Spencer,OL Reign,Picking-ups,1st half,34.0,21.8
765,1146.84,1166.84,22. Jasmyne Spencer,OL Reign,Positional attacks,1st half,34.0,21.8
766,1146.84,1166.84,22. Jasmyne Spencer,OL Reign,Dribbling,1st half,34.0,21.8
767,1146.84,1166.84,22. Jasmyne Spencer,OL Reign,Positional attacks,1st half,34.0,21.8
768,1150.86,1170.86,22. Jasmyne Spencer,OL Reign,Positional attacks,1st half,54.2,28.3
769,1150.86,1170.86,22. Jasmyne Spencer,OL Reign,Passes accurate,1st half,54.2,28.3
770,1151.48,1171.48,10. Jessica Anne Fishlock,OL Reign,Positional attacks,1st half,51.7,32.8
771,1153.81,1173.81,10. Jessica Anne Fishlock,OL Reign,Passes accurate,1st half,52.9,41.2
772,1153.81,1173.81,10. Jessica Anne Fishlock,OL Reign,Positional attacks,1st half,52.9,41.2
773,1155.62,1175.62,7. Stephanie-Elise Catley,OL Reign,Positional attacks,1st half,60.5,57.5
774,1155.62,1175.62,7. Stephanie-Elise Catley,OL Reign,Dribbling,1st half,60.5,57.5
775,1157.97,1177.97,7. Stephanie-Elise Catley,OL Reign,Passes accurate,1st half,75.0,59.4
776,1157.97,1177.97,7. Stephanie-Elise Catley,OL Reign,Positional attacks,1st half,75.0,59.4
777,1158.89,1178.89,15. Megan Anna Rapinoe,OL Reign,Positional attacks,1st half,90.7,63.0
778,1160.08,1180.08,15. Megan Anna Rapinoe,OL Reign,Positional attacks,1st half,88.4,60.3
779,1160.08,1180.08,15. Megan Anna Rapinoe,OL Reign,Passes accurate,1st half,88.4,60.3
780,1160.33,1180.33,7. Stephanie-Elise Catley,OL Reign,Dribbling,1st half,87.8,59.9
781,1160.33,1180.33,7. Stephanie-Elise Catley,OL Reign,Positional attacks,1st half,87.8,59.9
782,1166.53,1186.53,8. Theresa Eslund,OL Reign,Positional attacks,1st half,93.0,18.9
783,1166.53,1186.53,8. Theresa Eslund,OL Reign,Positional attacks,1st half,93.0,18.9
784,1166.53,1186.53,8. Theresa Eslund,OL Reign,Passes (inaccurate),1st half,93.0,18.9
785,1166.53,1186.53,8. Theresa Eslund,OL Reign,Passes into the penalty box,1st half,93.0,18.9
786,1167.68,1187.68,25. Meghan Elizabeth Klingenberg,Portland Thorns,Passes (inaccurate),1st half,6.1,40.7
787,1167.68,1187.68,25. Meghan Elizabeth Klingenberg,Portland Thorns,Picking-ups,1st half,6.1,40.7
788,1167.68,1187.68,25. Meghan Elizabeth Klingenberg,Portland Thorns,Positional attacks,1st half,6.1,40.7
789,1167.68,1187.68,25. Meghan Elizabeth Klingenberg,Portland Thorns,Positional attacks,1st half,6.1,40.7
790,1170.96,1190.96,6. Alexandra Linsley Long Batista,OL Reign,Picking-ups,1st half,69.5,11.5
791,1170.96,1190.96,6. Alexandra Linsley Long Batista,OL Reign,Picking-ups (in opp. half),1st half,69.5,11.5
792,1170.96,1190.96,6. Alexandra Linsley Long Batista,OL Reign,Positional attacks,1st half,69.5,11.5
793,1172.98,1192.98,6. Alexandra Linsley Long Batista,OL Reign,Crosses (accurate),1st half,73.1,10.3
794,1172.98,1192.98,6. Alexandra Linsley Long Batista,OL Reign,Passes accurate,1st half,73.1,10.3
795,1172.98,1192.98,6. Alexandra Linsley Long Batista,OL Reign,Positional attacks,1st half,73.1,10.3
796,1172.98,1192.98,6. Alexandra Linsley Long Batista,OL Reign,Positional attacks,1st half,73.1,10.3
797,1172.98,1192.98,6. Alexandra Linsley Long Batista,OL Reign,Passes into the penalty box,1st half,73.1,10.3
798,1175.15,1195.15,10. Jessica Anne Fishlock,OL Reign,Positional attacks,1st half,92.2,40.5
799,1175.15,1195.15,10. Jessica Anne Fishlock,OL Reign,Challenges (won),1st half,92.2,40.5
